codePC,descPC,codeRC,descRC,typeObjet,niveau,commentaireObligatoire,Gravité
P09M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme de la barre antipanique,P09M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P09M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme de la barre antipanique,P09M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P09M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme de la barre antipanique,P09M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P09M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme de la barre antipanique,P09M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P10M,Porte(s) sas à l'intérieur de l'issue. Nettoyage des parements inox des vantaux (chiffon doux imbibé d'un produit non corrosif),P10M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P10M,Porte(s) sas à l'intérieur de l'issue. Nettoyage des parements inox des vantaux (chiffon doux imbibé d'un produit non corrosif),P10M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P10M,Porte(s) sas à l'intérieur de l'issue. Nettoyage des parements inox des vantaux (chiffon doux imbibé d'un produit non corrosif),P10M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P10M,Porte(s) sas à l'intérieur de l'issue. Nettoyage des parements inox des vantaux (chiffon doux imbibé d'un produit non corrosif),P10M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P11M,Porte(s) sas à l'intérieur de l'issue. Graissage des gonds,P11M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P11M,Porte(s) sas à l'intérieur de l'issue. Graissage des gonds,P11M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P11M,Porte(s) sas à l'intérieur de l'issue. Graissage des gonds,P11M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P11M,Porte(s) sas à l'intérieur de l'issue. Graissage des gonds,P11M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P12M,Porte(s) sas à l'intérieur de l'issue. Graissage des parties métalliques mobiles de la serrure,P12M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P12M,Porte(s) sas à l'intérieur de l'issue. Graissage des parties métalliques mobiles de la serrure,P12M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P12M,Porte(s) sas à l'intérieur de l'issue. Graissage des parties métalliques mobiles de la serrure,P12M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P12M,Porte(s) sas à l'intérieur de l'issue. Graissage des parties métalliques mobiles de la serrure,P12M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P13M,Porte(s) sas à l'intérieur de l'issue. Graissage des parties métalliques mobiles du ferme-porte,P13M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P13M,Porte(s) sas à l'intérieur de l'issue. Graissage des parties métalliques mobiles du ferme-porte,P13M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P13M,Porte(s) sas à l'intérieur de l'issue. Graissage des parties métalliques mobiles du ferme-porte,P13M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P13M,Porte(s) sas à l'intérieur de l'issue. Graissage des parties métalliques mobiles du ferme-porte,P13M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P14M,Porte(s) sas à l'intérieur de l'issue. Remplacement de la visserie manquante ou détériorée,P14M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P14M,Porte(s) sas à l'intérieur de l'issue. Remplacement de la visserie manquante ou détériorée,P14M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P14M,Porte(s) sas à l'intérieur de l'issue. Remplacement de la visserie manquante ou détériorée,P14M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P14M,Porte(s) sas à l'intérieur de l'issue. Remplacement de la visserie manquante ou détériorée,P14M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P15M,Eclairage de secours dans le sas. Remplacement des luminaires défectueux,P15M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P15M,Eclairage de secours dans le sas. Remplacement des luminaires défectueux,P15M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P15M,Eclairage de secours dans le sas. Remplacement des luminaires défectueux,P15M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P15M,Eclairage de secours dans le sas. Remplacement des luminaires défectueux,P15M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P16M,Eclairage normal dans le sas. Remplacement des luminaires défectueux,P16M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P16M,Eclairage normal dans le sas. Remplacement des luminaires défectueux,P16M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P16M,Eclairage normal dans le sas. Remplacement des luminaires défectueux,P16M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P16M,Eclairage normal dans le sas. Remplacement des luminaires défectueux,P16M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P17M,Eclairage de secours dans l'issue. Remplacement des luminaires défectueux,P17M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P17M,Eclairage de secours dans l'issue. Remplacement des luminaires défectueux,P17M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P17M,Eclairage de secours dans l'issue. Remplacement des luminaires défectueux,P17M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P17M,Eclairage de secours dans l'issue. Remplacement des luminaires défectueux,P17M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P18M,Eclairage normal dans l'issue. Remplacement des luminaires défectueux,P18M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P18M,Eclairage normal dans l'issue. Remplacement des luminaires défectueux,P18M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P18M,Eclairage normal dans l'issue. Remplacement des luminaires défectueux,P18M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P18M,Eclairage normal dans l'issue. Remplacement des luminaires défectueux,P18M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P19M,Équipements statiques (signalétique jusqu'au point de rassemblement). Contrôle présence/état/lisibilité de toute la signalétique (intérieur et extérieur issue),P19M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P19M,Équipements statiques (signalétique jusqu'au point de rassemblement). Contrôle présence/état/lisibilité de toute la signalétique (intérieur et extérieur issue),P19M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P19M,Équipements statiques (signalétique jusqu'au point de rassemblement). Contrôle présence/état/lisibilité de toute la signalétique (intérieur et extérieur issue),P19M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P19M,Équipements statiques (signalétique jusqu'au point de rassemblement). Contrôle présence/état/lisibilité de toute la signalétique (intérieur et extérieur issue),P19M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P20M,Équipements statiques (signalétique jusqu'au point de rassemblement). Nettoyage des éléments de signalétique dans l'issue (chiffon doux imbibé d'un produit non corrosif),P20M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P20M,Équipements statiques (signalétique jusqu'au point de rassemblement). Nettoyage des éléments de signalétique dans l'issue (chiffon doux imbibé d'un produit non corrosif),P20M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P20M,Équipements statiques (signalétique jusqu'au point de rassemblement). Nettoyage des éléments de signalétique dans l'issue (chiffon doux imbibé d'un produit non corrosif),P20M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P20M,Équipements statiques (signalétique jusqu'au point de rassemblement). Nettoyage des éléments de signalétique dans l'issue (chiffon doux imbibé d'un produit non corrosif),P20M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P21M,Main-courante de l'escalier. Ajuster : Contrôle de l'état de la main-courante + consolidation si nécessaire,P21M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P21M,Main-courante de l'escalier. Ajuster : Contrôle de l'état de la main-courante + consolidation si nécessaire,P21M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P21M,Main-courante de l'escalier. Ajuster : Contrôle de l'état de la main-courante + consolidation si nécessaire,P21M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P21M,Main-courante de l'escalier. Ajuster : Contrôle de l'état de la main-courante + consolidation si nécessaire,P21M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P22M,Caméra anti-intrusion. Vérification de l'absence de dégradations visibles,P22M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P22M,Caméra anti-intrusion. Vérification de l'absence de dégradations visibles,P22M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P22M,Caméra anti-intrusion. Vérification de l'absence de dégradations visibles,P22M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P22M,Caméra anti-intrusion. Vérification de l'absence de dégradations visibles,P22M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P23M,Porte/portillon sortie issue. Contrôle de la possibilité d'ouverture de la porte,P23M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P23M,Porte/portillon sortie issue. Contrôle de la possibilité d'ouverture de la porte,P23M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P23M,Porte/portillon sortie issue. Contrôle de la possibilité d'ouverture de la porte,P23M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P23M,Porte/portillon sortie issue. Contrôle de la possibilité d'ouverture de la porte,P23M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P24M,Porte/portillon sortie issue. Analyse de l'effort nécessaire à l'ouverture de la porte,P24M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P24M,Porte/portillon sortie issue. Analyse de l'effort nécessaire à l'ouverture de la porte,P24M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P24M,Porte/portillon sortie issue. Analyse de l'effort nécessaire à l'ouverture de la porte,P24M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P24M,Porte/portillon sortie issue. Analyse de l'effort nécessaire à l'ouverture de la porte,P24M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P25M,Porte/portillon sortie issue. Vérification de l'état général de la porte extérieure (dégradations ?),P25M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P25M,Porte/portillon sortie issue. Vérification de l'état général de la porte extérieure (dégradations ?),P25M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P25M,Porte/portillon sortie issue. Vérification de l'état général de la porte extérieure (dégradations ?),P25M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P25M,Porte/portillon sortie issue. Vérification de l'état général de la porte extérieure (dégradations ?),P25M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P26M,Porte/portillon sortie issue. Contrôle de l'absence de problème d'étanchéité,P26M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P26M,Porte/portillon sortie issue. Contrôle de l'absence de problème d'étanchéité,P26M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P26M,Porte/portillon sortie issue. Contrôle de l'absence de problème d'étanchéité,P26M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P26M,Porte/portillon sortie issue. Contrôle de l'absence de problème d'étanchéité,P26M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P27M,Porte/portillon sortie issue. Contrôle de la bonne fermeture en autonomie de la porte,P27M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P27M,Porte/portillon sortie issue. Contrôle de la bonne fermeture en autonomie de la porte,P27M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P27M,Porte/portillon sortie issue. Contrôle de la bonne fermeture en autonomie de la porte,P27M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P27M,Porte/portillon sortie issue. Contrôle de la bonne fermeture en autonomie de la porte,P27M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P28M,Porte/portillon sortie issue. Signalement d'autres anomalies éventuelles (OK si RAS),P28M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P28M,Porte/portillon sortie issue. Signalement d'autres anomalies éventuelles (OK si RAS),P28M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P28M,Porte/portillon sortie issue. Signalement d'autres anomalies éventuelles (OK si RAS),P28M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P28M,Porte/portillon sortie issue. Signalement d'autres anomalies éventuelles (OK si RAS),P28M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P29M,"Porte/portillon sortie issue. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P29M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P29M,"Porte/portillon sortie issue. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P29M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P29M,"Porte/portillon sortie issue. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P29M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P29M,"Porte/portillon sortie issue. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P29M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P30M,Porte/portillon sortie issue. Réglage du mécanisme de clenche/poignée,P30M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P30M,Porte/portillon sortie issue. Réglage du mécanisme de clenche/poignée,P30M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P30M,Porte/portillon sortie issue. Réglage du mécanisme de clenche/poignée,P30M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P30M,Porte/portillon sortie issue. Réglage du mécanisme de clenche/poignée,P30M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P31M,Porte/portillon sortie issue. Réglage du mécanisme du pêne,P31M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P31M,Porte/portillon sortie issue. Réglage du mécanisme du pêne,P31M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P31M,Porte/portillon sortie issue. Réglage du mécanisme du pêne,P31M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P31M,Porte/portillon sortie issue. Réglage du mécanisme du pêne,P31M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P32M,Porte/portillon sortie issue. Réglage du mécanisme de la barre antipanique,P32M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P32M,Porte/portillon sortie issue. Réglage du mécanisme de la barre antipanique,P32M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P32M,Porte/portillon sortie issue. Réglage du mécanisme de la barre antipanique,P32M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P32M,Porte/portillon sortie issue. Réglage du mécanisme de la barre antipanique,P32M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P33M,Porte/portillon sortie issue. Nettoyage : Parements inox des vantaux (chiffon doux imbibé d'un produit non corrosif),P33M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P33M,Porte/portillon sortie issue. Nettoyage : Parements inox des vantaux (chiffon doux imbibé d'un produit non corrosif),P33M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P33M,Porte/portillon sortie issue. Nettoyage : Parements inox des vantaux (chiffon doux imbibé d'un produit non corrosif),P33M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P33M,Porte/portillon sortie issue. Nettoyage : Parements inox des vantaux (chiffon doux imbibé d'un produit non corrosif),P33M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P34M,Porte/portillon sortie issue. Graissage des gonds,P34M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P34M,Porte/portillon sortie issue. Graissage des gonds,P34M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P34M,Porte/portillon sortie issue. Graissage des gonds,P34M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P34M,Porte/portillon sortie issue. Graissage des gonds,P34M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P35M,Porte/portillon sortie issue. Graissage des parties métalliques mobiles - Serrure,P35M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P35M,Porte/portillon sortie issue. Graissage des parties métalliques mobiles - Serrure,P35M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P35M,Porte/portillon sortie issue. Graissage des parties métalliques mobiles - Serrure,P35M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P35M,Porte/portillon sortie issue. Graissage des parties métalliques mobiles - Serrure,P35M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P36M,Porte/portillon sortie issue. Graissage des parties métalliques mobiles - Ferme-porte,P36M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P36M,Porte/portillon sortie issue. Graissage des parties métalliques mobiles - Ferme-porte,P36M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P36M,Porte/portillon sortie issue. Graissage des parties métalliques mobiles - Ferme-porte,P36M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P36M,Porte/portillon sortie issue. Graissage des parties métalliques mobiles - Ferme-porte,P36M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P37M,Porte/portillon sortie issue. Remplacement : Visserie manquante ou détériorée,P37M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P37M,Porte/portillon sortie issue. Remplacement : Visserie manquante ou détériorée,P37M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P37M,Porte/portillon sortie issue. Remplacement : Visserie manquante ou détériorée,P37M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P37M,Porte/portillon sortie issue. Remplacement : Visserie manquante ou détériorée,P37M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P38M,Éclairage extérieur. Contrôle de l'activation et de la qualité de l'éclairage extérieur,P38M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P38M,Éclairage extérieur. Contrôle de l'activation et de la qualité de l'éclairage extérieur,P38M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P38M,Éclairage extérieur. Contrôle de l'activation et de la qualité de l'éclairage extérieur,P38M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P38M,Éclairage extérieur. Contrôle de l'activation et de la qualité de l'éclairage extérieur,P38M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P39M,Éclairage extérieur. Remplacement des luminaires défectueux,P39M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P39M,Éclairage extérieur. Remplacement des luminaires défectueux,P39M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P39M,Éclairage extérieur. Remplacement des luminaires défectueux,P39M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P39M,Éclairage extérieur. Remplacement des luminaires défectueux,P39M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P40M,GTC ouverture porte tunnel. Contrôle de la remontée de l'information dans la GTC (avec le PC),P40M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P40M,GTC ouverture porte tunnel. Contrôle de la remontée de l'information dans la GTC (avec le PC),P40M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P40M,GTC ouverture porte tunnel. Contrôle de la remontée de l'information dans la GTC (avec le PC),P40M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
